# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
6.547770000000000437e+02,1.890525148306414563e-02,-6.230136060228193360e-04,-1.824388077896476083e-03,7.574675311886379901e-03,1.620141376691740156e-03,-3.183562851944035741e-04,6.183345712619754686e-03,1.793059484727339489e-02
6.575449999999999591e+02,2.101914540749679622e-02,6.225845760514988475e-04,-1.642336670700302037e-03,1.358212922516516263e-02,7.209151975323360717e-03,1.332739673614751971e-03,5.133920621648739580e-03,1.637164651662742151e-02
6.603120000000000118e+02,1.791072689331353954e-02,1.359179799210218694e-03,-2.597405446509799733e-03,1.742870836269915305e-02,9.622083720223271672e-03,5.717472989451388796e-04,4.945192563028612612e-03,1.163641086639309596e-02
6.630779999999999745e+02,1.280741456153160727e-02,1.248772971185495078e-03,-2.222625621802114780e-03,1.009505577550149497e-02,4.472184771862896223e-03,7.040871644861310379e-04,4.294121221078522378e-03,9.263877566488130932e-03
6.658440000000000509e+02,1.253196656450165924e-02,2.628757219925667316e-03,-1.870122534908996541e-03,1.380078110112903725e-02,1.004357391781630568e-02,2.268170289938548339e-03,6.580691929235662867e-03,1.280833922343605977e-02
6.686079999999999472e+02,1.546814814169226657e-02,3.206077870501315881e-03,-2.273680322204070861e-03,2.073216102042346048e-02,8.911330116044086092e-03,4.645342375483961853e-03,9.327497967632318587e-03,2.026080028494367177e-02
6.713719999999999573e+02,1.515225005174940590e-02,4.516585398023091960e-03,-3.174388485156798625e-03,2.990769441659445541e-02,1.661156240965587505e-02,4.546973604105916493e-03,1.021665104564484748e-02,2.285692662617819226e-02
6.741340000000000146e+02,1.322775768314291174e-02,3.331742376374374759e-03,-2.363465475368885238e-03,2.747274046507309359e-02,1.983510705170557845e-02,2.883263281231389363e-03,7.070807406990207294e-03,1.902990542159282636e-02
6.768959999999999582e+02,8.923706306519240544e-03,2.791960254933269821e-03,-2.363130512703644909e-03,2.399424503288163230e-02,2.209155237779444197e-02,-2.934156082421788408e-04,9.012136491375187519e-03,1.629688134267533867e-02
6.796570000000000391e+02,9.067685763069046126e-03,1.339466650712379039e-03,-2.400895687681617926e-03,1.716387537873694316e-02,1.221884058314717802e-02,-7.625522890582201764e-04,9.206105972519432190e-03,1.417394154738628453e-02
